,words,true_label,predicted_lable
88514,!,.,.
88515,!,.,.
88516,Certainly,ADV,ADV
88517,not,ADV,ADV
88518,",",.,.
88519,I,PRON,PRON
88520,mean,VERB,VERB
88521,",",.,.
88522,no,ADV,DET
88523,that,DET,DET
88524,isn't,VERB,VERB
88525,what,DET,DET
88526,I,PRON,PRON
88527,said,VERB,VERB
88528,'',.,.
88529,!,.,.
88530,!,.,.
88531,She,PRON,PRON
88532,snapped,VERB,VERB
88533,at,ADP,ADP
88534,him,PRON,PRON
88535,.,.,.
88536,``,.,.
88537,I,PRON,PRON
88538,only,ADV,ADV
88539,said,VERB,VERB
88540,I,PRON,PRON
88541,was,VERB,VERB
88542,hungry,ADJ,ADJ
88543,.,.,.
88544,We,PRON,PRON
88545,haven't,VERB,VERB
88546,had,VERB,VERB
88547,anything,NOUN,NOUN
88548,to,PRT,PRT
88549,eat,VERB,VERB
88550,all,PRT,PRT
88551,day,NOUN,NOUN
88552,'',.,.
88553,.,.,.
88554,Joviality,NOUN,NOUN
88555,suffused,VERB,VERB
88556,Feathertop,NOUN,ADJ
88557,Ernie,NOUN,NOUN
88558,Cargill's,NOUN,ADJ
88559,voice,NOUN,NOUN
88560,as,ADP,ADP
88561,he,PRON,PRON
88562,reached,VERB,VERB
88563,behind,ADP,ADP
88564,him,PRON,PRON
88565,",",.,.
88566,pulling,VERB,VERB
88567,out,PRT,PRT
88568,a,DET,DET
88569,battered,VERB,VERB
88570,carpet,NOUN,NOUN
88571,bag,NOUN,NOUN
88572,",",.,.
88573,with,ADP,ADP
88574,leather,NOUN,NOUN
88575,handles,NOUN,NOUN
88576,.,.,.
88577,``,.,.
88578,Whyn't,PRT,NOUN
88579,ya,PRON,PRON
88580,say,VERB,VERB
88581,so,ADV,ADV
88582,",",.,.
88583,fellow,NOUN,ADJ
88584,travelers,NOUN,NOUN
88585,!,.,.
88586,!,.,.
88587,Why,ADV,ADV
88588,",",.,.
88589,we,PRON,PRON
88590,got,VERB,VERB
88591,dinner,NOUN,NOUN
88592,right,ADV,ADV
88593,here,ADV,ADV
88594,.,.,.
88595,C'mon,VERB,NOUN
88596,",",.,.
88597,buddy,NOUN,NOUN
88598,",",.,.
88599,help,VERB,VERB
88600,me,PRON,PRON
88601,set,VERB,VERB
88602,up,PRT,PRT
88603,the,DET,DET
88604,kitchen,NOUN,NOUN
88605,and,CONJ,CONJ
88606,we'll,PRT,PRT
88607,have,VERB,VERB
88608,food,NOUN,NOUN
88609,in,ADP,ADP
88610,a,DET,DET
88611,minute,NOUN,NOUN
88612,or,CONJ,CONJ
88613,two,NUM,NUM
88614,'',.,.
88615,.,.,.
88616,Cappy,NOUN,NOUN
88617,looked,VERB,VERB
88618,wary,ADJ,ADJ
88619,",",.,.
88620,but,CONJ,CONJ
88621,he,PRON,PRON
88622,moved,VERB,VERB
88623,off,ADP,PRT
88624,the,DET,DET
88625,floorboards,NOUN,NOUN
88626,and,CONJ,CONJ
88627,followed,VERB,VERB
88628,the,DET,DET
88629,dirty,ADJ,ADJ
88630,ex-musician,NOUN,NOUN
88631,to,ADP,ADP
88632,the,DET,DET
88633,center,NOUN,NOUN
88634,of,ADP,ADP
88635,the,DET,DET
88636,refuse-littered,ADJ,NOUN
88637,boxcar,NOUN,NOUN
88638,.,.,.
88639,Ernie,NOUN,NOUN
88640,crouched,VERB,VERB
88641,and,CONJ,CONJ
88642,opened,VERB,VERB
88643,the,DET,DET
88644,carpet,NOUN,NOUN
88645,bag,NOUN,NOUN
88646,.,.,.
88647,He,PRON,PRON
88648,took,VERB,VERB
88649,out,PRT,PRT
88650,a,DET,DET
88651,small,ADJ,ADJ
88652,packet,NOUN,NOUN
88653,filled,VERB,VERB
88654,with,ADP,ADP
88655,bits,NOUN,NOUN
88656,of,ADP,ADP
88657,charcoal,NOUN,NOUN
88658,",",.,.
88659,a,DET,DET
88660,deep,ADJ,ADJ
88661,pot,NOUN,NOUN
88662,of,ADP,ADP
88663,thin,ADJ,ADJ
88664,metal,NOUN,NOUN
88665,",",.,.
88666,some,DET,DET
88667,sheets,NOUN,NOUN
88668,of,ADP,ADP
88669,newspaper,NOUN,NOUN
88670,",",.,.
88671,a,DET,DET
88672,book,NOUN,NOUN
88673,of,ADP,ADP
88674,matches,NOUN,NOUN
88675,and,CONJ,CONJ
88676,a,DET,DET
88677,wrinkled,VERB,NOUN
88678,and,CONJ,CONJ
88679,many-times,NOUN,NOUN
88680,folded,VERB,VERB
88681,piece,NOUN,NOUN
88682,of,ADP,ADP
88683,tin,NOUN,NOUN
88684,foil,NOUN,NOUN
88685,with,ADP,ADP
88686,holes,NOUN,NOUN
88687,in,ADP,ADP
88688,it,PRON,PRON
88689,.,.,.
88690,He,PRON,PRON
88691,put,VERB,VERB
88692,the,DET,DET
88693,charcoal,NOUN,NOUN
88694,in,ADP,ADP
88695,the,DET,DET
88696,pot,NOUN,NOUN
88697,",",.,.
88698,lit,VERB,VERB
88699,the,DET,DET
88700,paper,NOUN,NOUN
88701,with,ADP,ADP
88702,the,DET,DET
88703,matches,NOUN,NOUN
88704,",",.,.
88705,and,CONJ,CONJ
88706,carefully,ADV,ADV
88707,stretched,VERB,VERB
88708,the,DET,DET
88709,tin,NOUN,NOUN
88710,foil,NOUN,NOUN
88711,across,ADP,ADP
88712,the,DET,DET
88713,top,NOUN,NOUN
88714,of,ADP,ADP
88715,the,DET,DET
88716,pot,NOUN,NOUN
88717,.,.,.
88718,``,.,.
88719,A,DET,DET
88720,charcoal,NOUN,NOUN
88721,pit,NOUN,NOUN
88722,",",.,.
88723,man,NOUN,NOUN
88724,'',.,.
88725,",",.,.
88726,he,PRON,PRON
88727,said,VERB,VERB
88728,",",.,.
88729,indicating,VERB,VERB
88730,the,DET,DET
88731,slightly-smoking,ADJ,NOUN
88732,makeshift,ADJ,ADJ
88733,brazier,NOUN,NOUN
88734,.,.,.
88735,``,.,.
88736,Fan,VERB,VERB
88737,it,PRON,PRON
88738,'',.,.
88739,",",.,.
88740,he,PRON,PRON
88741,told,VERB,VERB
88742,Cappy,NOUN,NOUN
88743,",",.,.
88744,handing,VERB,VERB
88745,him,PRON,PRON
88746,a,DET,DET
88747,sheet,NOUN,NOUN
88748,of,ADP,ADP
88749,newspaper,NOUN,NOUN
88750,.,.,.
88751,``,.,.
88752,Yeah,ADV,NOUN
88753,",",.,.
88754,but,CONJ,CONJ
88755,what're,PRT,NOUN
88756,we,PRON,PRON
88757,gonna,VERB,VERB
88758,eat,VERB,VERB
88759,?,.,.
88760,?,.,.
88761,Charcoal,NOUN,NOUN
88762,'',.,.
88763,?,.,.
88764,?,.,.
88765,``,.,.
88766,Fella,NOUN,NOUN
88767,'',.,.
88768,",",.,.
88769,Ernie,NOUN,NOUN
88770,waggled,VERB,VERB
88771,a,DET,DET
88772,dirty,ADJ,ADJ
88773,finger,NOUN,NOUN
88774,at,ADP,ADP
88775,the,DET,DET
88776,younger,ADJ,ADJ
88777,man,NOUN,NOUN
88778,",",.,.
88779,``,.,.
88780,you,PRON,PRON
88781,try,VERB,VERB
88782,my,DET,DET
88783,ever-lovin',ADJ,NOUN
88784,patience,NOUN,NOUN
88785,'',.,.
88786,.,.,.
88787,He,PRON,PRON
88788,reached,VERB,VERB
88789,once,ADV,ADV
88790,more,ADV,ADV
88791,into,ADP,ADP
88792,the,DET,DET
88793,carpet,NOUN,NOUN
88794,bag,NOUN,NOUN
88795,and,CONJ,CONJ
88796,brought,VERB,VERB
88797,up,PRT,PRT
88798,a,DET,DET
88799,package,NOUN,NOUN
88800,of,ADP,ADP
88801,wieners,NOUN,NOUN
88802,.,.,.
88803,``,.,.
88804,Hot,ADJ,ADJ
88805,dogs,NOUN,NOUN
88806,",",.,.
88807,man,NOUN,NOUN
88808,.,.,.
88809,Not,ADV,ADV
88810,the,DET,DET
88811,greatest,ADJ,ADJ
88812,",",.,.
88813,but,CONJ,CONJ
88814,they,PRON,PRON
88815,stick,VERB,VERB
88816,to,ADP,ADP
88817,your,DET,DET
88818,belly,NOUN,NOUN
88819,insides,NOUN,NOUN
88820,'',.,.
88821,.,.,.
88822,He,PRON,PRON
88823,ripped,VERB,VERB
88824,down,PRT,ADP
88825,the,DET,DET
88826,cellophane,NOUN,NOUN
88827,carefully,ADV,ADV
88828,",",.,.
88829,and,CONJ,CONJ
88830,laid,VERB,VERB
88831,three,NUM,NUM
88832,dogs,NOUN,NOUN
88833,on,ADP,ADP
88834,the,DET,DET
88835,tin,NOUN,NOUN
88836,foil,NOUN,NOUN
88837,.,.,.
88838,Almost,ADV,ADV
88839,immediately,ADV,ADV
88840,they,PRON,PRON
88841,began,VERB,VERB
88842,to,PRT,ADP
88843,sizzle,VERB,VERB
88844,.,.,.
88845,He,PRON,PRON
88846,looked,VERB,VERB
88847,up,PRT,PRT
88848,and,CONJ,CONJ
88849,grinned,VERB,VERB
88850,.,.,.
88851,``,.,.
88852,A,DET,DET
88853,Kroger's,NOUN,NOUN
88854,self-serve,NOUN,NOUN
88855,'',.,.
88856,",",.,.
88857,he,PRON,PRON
88858,explained,VERB,VERB
88859,.,.,.
88860,``,.,.
88861,I,PRON,PRON
88862,self-served,VERB,VERB
88863,'',.,.
88864,.,.,.
88865,When,ADV,ADV
88866,they,PRON,PRON
88867,had,VERB,VERB
88868,licked,VERB,VERB
88869,the,DET,DET
88870,last,ADJ,ADJ
88871,of,ADP,ADP
88872,the,DET,DET
88873,wieners',NOUN,ADJ
88874,taste,NOUN,NOUN
88875,from,ADP,ADP
88876,their,DET,DET
88877,fingers,NOUN,NOUN
88878,",",.,.
88879,they,PRON,PRON
88880,settled,VERB,VERB
88881,back,ADV,ADV
88882,",",.,.
88883,and,CONJ,CONJ
88884,Cappy,NOUN,NOUN
88885,offered,VERB,VERB
88886,Ernie,NOUN,NOUN
88887,a,DET,DET
88888,cigarette,NOUN,NOUN
88889,.,.,.
88890,Nice,ADJ,ADJ
88891,kid,NOUN,NOUN
88892,",",.,.
88893,Ernie,NOUN,NOUN
88894,thought,VERB,NOUN
88895,",",.,.
88896,too,ADV,ADV
88897,bad,ADJ,ADJ
88898,.,.,.
88899,``,.,.
88900,How,ADV,ADV
88901,come,VERB,VERB
88902,you're,PRT,PRT
88903,riding,VERB,VERB
88904,the,DET,DET
88905,rods,NOUN,NOUN
88906,",",.,.
88907,kids,NOUN,NOUN
88908,like,ADP,ADP
88909,you,PRON,PRON
88910,'',.,.
88911,?,.,.
88912,?,.,.
88913,Ernie,NOUN,NOUN
88914,asked,VERB,VERB
88915,.,.,.
88916,Cappy,NOUN,NOUN
88917,looked,VERB,VERB
88918,down,PRT,PRT
88919,at,ADP,ADP
88920,his,DET,DET
88921,wide,ADJ,ADJ
88922,hands,NOUN,NOUN
88923,",",.,.
88924,and,CONJ,CONJ
88925,did,VERB,VERB
88926,not,ADV,ADV
88927,reply,VERB,VERB
88928,.,.,.
88929,But,CONJ,CONJ
88930,surprisingly,ADV,ADV
88931,",",.,.
88932,Kitty's,NOUN,ADJ
88933,face,NOUN,NOUN
88934,came,VERB,VERB
88935,up,PRT,PRT
88936,and,CONJ,CONJ
88937,she,PRON,PRON
88938,said,VERB,VERB
88939,",",.,.
88940,``,.,.
88941,My,DET,DET
88942,father,NOUN,NOUN
88943,.,.,.
88944,He,PRON,PRON
88945,didn't,VERB,VERB
88946,want,VERB,VERB
88947,us,PRON,PRON
88948,to,PRT,PRT
88949,get,VERB,VERB
88950,married,VERB,VERB
88951,.,.,.
88952,So,ADP,ADV
88953,we,PRON,PRON
88954,ran,VERB,VERB
88955,away,ADV,ADV
88956,'',.,.
88957,.,.,.
88958,``,.,.
88959,Why,ADV,ADV
88960,didn't,VERB,VERB
88961,he,PRON,PRON
88962,want,VERB,VERB
88963,you,PRON,PRON
88964,to,PRT,PRT
88965,get,VERB,VERB
88966,hitched,VERB,VERB
88967,'',.,.
88968,?,.,.
88969,?,.,.
88970,This,DET,DET
88971,time,NOUN,NOUN
88972,even,ADV,ADV
88973,she,PRON,PRON
88974,did,VERB,VERB
88975,not,ADV,ADV
88976,answer,VERB,VERB
88977,.,.,.
88978,She,PRON,PRON
88979,looked,VERB,VERB
88980,down,PRT,PRT
88981,at,ADP,ADP
88982,her,DET,DET
88983,hands,NOUN,NOUN
88984,",",.,.
88985,too,ADV,ADV
88986,.,.,.
88987,After,ADP,ADP
88988,a,DET,DET
88989,few,ADJ,ADJ
88990,seconds,NOUN,NOUN
88991,",",.,.
88992,she,PRON,PRON
88993,said,VERB,VERB
88994,",",.,.
88995,``,.,.
88996,Dad,NOUN,NOUN
88997,didn't,VERB,VERB
88998,like,VERB,VERB
88999,Cappy,NOUN,NOUN
89000,.,.,.
89001,It,PRON,PRON
89002,was,VERB,VERB
89003,my,DET,DET
89004,fault,NOUN,NOUN
89005,'',.,.
89006,.,.,.
89007,Cappy's,NOUN,NOUN
89008,head,NOUN,NOUN
89009,came,VERB,VERB
89010,around,ADV,ADV
89011,sharply,ADV,ADV
89012,.,.,.
89013,``,.,.
89014,Your,DET,DET
89015,fault,NOUN,NOUN
89016,",",.,.
89017,hell,PRT,NOUN
89018,!,.,.
89019,!,.,.
89020,It,PRON,PRON
89021,was,VERB,VERB
89022,all,PRT,PRT
89023,my,DET,DET
89024,fault,NOUN,NOUN
89025,.,.,.
89026,If,ADP,ADP
89027,I'd,PRT,PRT
89028,been,VERB,VERB
89029,careful,ADJ,ADJ
89030,it,PRON,PRON
89031,never,ADV,ADV
89032,woulda,VERB,ADJ
89033,'',.,.
89034,--,.,.
89035,he,PRON,PRON
89036,stopped,VERB,VERB
89037,abruptly,ADV,ADV
89038,.,.,.
89039,Ernie's,NOUN,NOUN
89040,eyebrows,NOUN,NOUN
89041,went,VERB,VERB
89042,up,PRT,PRT
89043,.,.,.
89044,``,.,.
89045,What's,PRT,PRT
89046,the,DET,DET
89047,matter,NOUN,NOUN
89048,'',.,.
89049,?,.,.
89050,?,.,.
89051,The,DET,DET
89052,girl,NOUN,NOUN
89053,still,ADV,ADV
89054,did,VERB,VERB
89055,not,ADV,ADV
89056,raise,VERB,VERB
89057,her,DET,DET
89058,eyes,NOUN,NOUN
89059,",",.,.
89060,but,CONJ,CONJ
89061,she,PRON,PRON
89062,added,VERB,VERB
89063,simply,ADV,ADV
89064,",",.,.
89065,``,.,.
89066,I'm,PRT,PRT
89067,pregnant,ADJ,ADJ
89068,'',.,.
89069,.,.,.
89070,Cappy,NOUN,NOUN
89071,raged,VERB,VERB
89072,at,ADP,ADP
89073,himself,PRON,PRON
89074,.,.,.
89075,``,.,.
89076,Oh,PRT,PRT
89077,he,PRON,PRON
89078,was,VERB,VERB
89079,stupid,ADJ,ADJ
89080,",",.,.
89081,her,DET,DET
89082,old,ADJ,ADJ
89083,man,NOUN,NOUN
89084,!,.,.
89085,!,.,.
89086,You,PRON,PRON
89087,never,ADV,ADV
89088,heard,VERB,VERB
89089,nothin',NOUN,NOUN
89090,like,ADP,ADP
89091,it,PRON,PRON
89092,:,.,.
89093,Kitty's,PRT,NOUN
89094,gonna,VERB,VERB
89095,go,VERB,VERB
89096,have,VERB,VERB
89097,an,DET,DET
89098,abortion,NOUN,NOUN
89099,",",.,.
89100,and,CONJ,CONJ
89101,Kitty's,PRT,NOUN
89102,gonna,VERB,VERB
89103,go,VERB,VERB
89104,away,ADV,ADV
89105,to,ADP,ADP
89106,a,DET,DET
89107,convent,NOUN,NOUN
89108,",",.,.
89109,and,CONJ,CONJ
89110,Kitty's,PRT,VERB
89111,this,DET,DET
89112,and,CONJ,CONJ
89113,Kitty's,PRT,NOUN
89114,that,DET,PRON
89115,like,ADP,ADP
89116,he,PRON,PRON
89117,was,VERB,VERB
89118,nuts,NOUN,NOUN
89119,or,CONJ,CONJ
89120,somethin',NOUN,NOUN
89121,",",.,.
89122,y'know,PRT,NOUN
89123,'',.,.
89124,?,.,.
89125,?,.,.
89126,Ernie,NOUN,NOUN
89127,nodded,VERB,VERB
89128,.,.,.
89129,This,DET,DET
89130,was,VERB,VERB
89131,a,DET,DET
89132,slightly,ADV,ADV
89133,different,ADJ,ADJ
89134,matter,NOUN,NOUN
89135,.,.,.
89136,He,PRON,PRON
89137,remembered,VERB,VERB
89138,Midge,NOUN,NOUN
89139,",",.,.
89140,and,CONJ,CONJ
89141,the,DET,DET
89142,child,NOUN,NOUN
89143,.,.,.
89144,But,CONJ,CONJ
89145,that,DET,DET
89146,had,VERB,VERB
89147,been,VERB,VERB
89148,a,DET,DET
89149,time,NOUN,NOUN
89150,before,ADP,ADP
89151,all,PRT,PRT
89152,this,DET,DET
89153,",",.,.
89154,a,DET,DET
89155,time,NOUN,NOUN
89156,he,PRON,PRON
89157,didn't,VERB,VERB
89158,think,VERB,VERB
89159,about,ADP,ADV
89160,.,.,.
89161,A,DET,DET
89162,time,NOUN,NOUN
89163,before,ADP,ADP
89164,the,DET,DET
89165,white,ADJ,ADJ
89166,lightning,NOUN,NOUN
89167,and,CONJ,CONJ
89168,the,DET,DET
89169,bumming,NOUN,NOUN
89170,had,VERB,VERB
89171,turned,VERB,VERB
89172,him,PRON,PRON
89173,inside,ADV,ADV
89174,out,PRT,PRT
89175,.,.,.
89176,But,CONJ,CONJ
89177,these,DET,DET
89178,kids,NOUN,NOUN
89179,weren't,VERB,VERB
89180,like,ADP,ADP
89181,him,PRON,PRON
89182,.,.,.
89183,Oh,PRT,PRT
89184,crap,PRT,NOUN
89185,!,.,.
89186,!,.,.
89187,He,PRON,PRON
89188,thought,VERB,VERB
89189,",",.,.
89190,Pull,VERB,VERB
89191,out,ADP,ADP
89192,of,ADP,ADP
89193,it,PRON,PRON
89194,",",.,.
89195,old,ADJ,ADJ
89196,son,NOUN,NOUN
89197,.,.,.
89198,These,DET,DET
89199,are,VERB,VERB
89200,just,ADV,ADV
89201,another,DET,DET
89202,couple,NOUN,NOUN
89203,of,ADP,ADP
89204,characters,NOUN,NOUN
89205,to,PRT,ADP
89206,roll,VERB,VERB
89207,.,.,.
89208,What,DET,DET
89209,they,PRON,PRON
89210,got,VERB,VERB
89211,",",.,.
89212,you,PRON,PRON
89213,get,VERB,VERB
89214,.,.,.
89215,Now,ADV,ADV
89216,forget,VERB,VERB
89217,all,PRT,PRT
89218,this,DET,DET
89219,other,ADJ,ADJ
89220,.,.,.
89221,``,.,.
89222,Wanna,VERB,NOUN
89223,drink,NOUN,NOUN
89224,'',.,.
89225,?,.,.
89226,?,.,.
89227,Ernie,NOUN,NOUN
89228,offered,VERB,VERB
89229,",",.,.
89230,taking,VERB,VERB
89231,the,DET,DET
89232,pint,NOUN,NOUN
89233,of,ADP,ADP
89234,sweet,ADJ,ADJ
89235,lucy,NOUN,NOUN
89236,from,ADP,ADP
89237,his,DET,DET
89238,jacket,NOUN,NOUN
89239,pocket,NOUN,NOUN
89240,.,.,.
89241,``,.,.
89242,Yeah,ADV,NOUN
89243,.,.,.
89244,Now,ADV,ADV
89245,that,ADP,ADP
89246,you,PRON,PRON
89247,offer,VERB,VERB
89248,'',.,.
89249,.,.,.
89250,The,DET,DET
89251,answer,NOUN,NOUN
89252,came,VERB,VERB
89253,from,ADP,ADP
89254,the,DET,DET
89255,open,ADJ,ADJ
89256,door,NOUN,NOUN
89257,of,ADP,ADP
89258,the,DET,DET
89259,boxcar,NOUN,NOUN
89260,.,.,.
89261,From,ADP,ADP
89262,the,DET,DET
89263,man,NOUN,NOUN
89264,who,PRON,PRON
89265,had,VERB,VERB
89266,leaped,VERB,VERB
89267,in,PRT,ADP
89268,from,ADP,ADP
89269,the,DET,DET
89270,high,ADJ,ADJ
89271,bank,NOUN,NOUN
89272,outside,ADV,ADV
89273,",",.,.
89274,as,ADP,ADP
89275,the,DET,DET
89276,train,NOUN,NOUN
89277,had,VERB,VERB
89278,slowed,VERB,VERB
89279,on,ADP,ADP
89280,the,DET,DET
89281,grade,NOUN,NOUN
89282,.,.,.
89283,Ernie,NOUN,NOUN
89284,stared,VERB,VERB
89285,at,ADP,ADP
89286,the,DET,DET
89287,man,NOUN,NOUN
89288,.,.,.
89289,He,PRON,PRON
89290,was,VERB,VERB
89291,big,ADJ,ADJ
89292,.,.,.
89293,Real,ADV,ADV
89294,big,ADJ,ADJ
89295,",",.,.
89296,with,ADP,ADP
89297,shoulders,NOUN,NOUN
89298,out,ADP,ADP
89299,to,ADP,PRT
89300,here,ADV,ADV
89301,",",.,.
89302,and,CONJ,CONJ
89303,hair,NOUN,VERB
89304,all,PRT,PRT
89305,over,ADP,ADP
89306,him,PRON,PRON
89307,like,ADP,ADP
89308,a,DET,DET
89309,grizzly,NOUN,NOUN
89310,.,.,.
89311,Road,NOUN,NOUN
89312,gang,NOUN,NOUN
89313,",",.,.
89314,Ernie,NOUN,NOUN
89315,thought,VERB,NOUN
89316,.,.,.
89317,``,.,.
89318,You,PRON,PRON
89319,gonna,VERB,VERB
89320,give,VERB,VERB
89321,me,PRON,PRON
89322,a,DET,DET
89323,drink,NOUN,NOUN
89324,",",.,.
89325,fella,NOUN,NOUN
89326,'',.,.
89327,?,.,.
89328,?,.,.
89329,The,DET,DET
89330,big,ADJ,ADJ
89331,man,NOUN,NOUN
89332,asked,VERB,VERB
89333,again,ADV,ADV
89334,",",.,.
89335,taking,VERB,VERB
89336,a,DET,DET
89337,step,NOUN,NOUN
89338,into,ADP,ADP
89339,the,DET,DET
89340,boxcar,NOUN,NOUN
89341,.,.,.
89342,Ernie,NOUN,NOUN
89343,hesitated,VERB,VERB
89344,a,DET,DET
89345,moment,NOUN,NOUN
89346,.,.,.
89347,This,DET,DET
89348,character,NOUN,NOUN
89349,could,VERB,VERB
89350,break,VERB,VERB
89351,him,PRON,PRON
89352,in,ADP,ADP
89353,half,PRT,PRT
89354,.,.,.
89355,``,.,.
89356,Sure,ADV,ADJ
89357,'',.,.
89358,",",.,.
89359,he,PRON,PRON
89360,said,VERB,VERB
89361,",",.,.
89362,and,CONJ,CONJ
89363,lifted,VERB,VERB
89364,the,DET,DET
89365,pint,NOUN,NOUN
89366,to,ADP,ADP
89367,his,DET,DET
89368,own,ADJ,ADJ
89369,lips,NOUN,NOUN
89370,.,.,.
89371,He,PRON,PRON
89372,guzzled,VERB,VERB
89373,down,PRT,PRT
89374,three-quarters,NOUN,NOUN
89375,of,ADP,ADP
89376,the,DET,DET
89377,strong,ADJ,ADJ
89378,home-blend,NOUN,NOUN
89379,and,CONJ,CONJ
89380,proffered,VERB,VERB
89381,the,DET,DET
89382,remainder,NOUN,NOUN
89383,.,.,.
89384,The,DET,DET
89385,man,NOUN,NOUN
89386,stalked,VERB,NOUN
89387,toward,ADP,ADP
89388,them,PRON,PRON
89389,",",.,.
89390,his,DET,DET
89391,big,ADJ,ADJ
89392,boots,NOUN,NOUN
89393,heavy,ADJ,ADJ
89394,on,ADP,ADP
89395,the,DET,DET
89396,wooden,ADJ,ADJ
89397,flooring,NOUN,NOUN
89398,.,.,.
89399,He,PRON,PRON
89400,took,VERB,VERB
89401,the,DET,DET
89402,bottle,NOUN,NOUN
89403,with,ADP,ADP
89404,undue,ADJ,ADJ
89405,belligerence,NOUN,NOUN
89406,",",.,.
89407,and,CONJ,CONJ
89408,making,VERB,VERB
89409,sucking,VERB,VERB
89410,noises,NOUN,NOUN
89411,with,ADP,ADP
89412,his,DET,DET
89413,thick,ADJ,ADJ
89414,lips,NOUN,NOUN
89415,",",.,.
89416,drained,VERB,VERB
89417,it,PRON,PRON
89418,completely,ADV,ADV
89419,.,.,.
89420,He,PRON,PRON
89421,threw,VERB,VERB
89422,his,DET,DET
89423,head,NOUN,NOUN
89424,back,ADV,ADV
89425,",",.,.
89426,closed,VERB,VERB
89427,his,DET,DET
89428,eyes,NOUN,NOUN
89429,",",.,.
89430,and,CONJ,CONJ
89431,belched,VERB,VERB
89432,ferociously,ADV,NOUN
89433,.,.,.
89434,He,PRON,PRON
89435,belched,VERB,VERB
89436,again,ADV,ADV
89437,",",.,.
89438,and,CONJ,CONJ
89439,opening,VERB,VERB
89440,his,DET,DET
89441,eyes,NOUN,NOUN
89442,",",.,.
89443,threw,VERB,VERB
89444,the,DET,DET
89445,bottle,NOUN,NOUN
89446,out,ADP,PRT
89447,the,DET,DET
89448,open,ADJ,ADJ
89449,door,NOUN,NOUN
89450,.,.,.
89451,``,.,.
89452,Well,PRT,ADV
89453,",",.,.
89454,now,ADV,ADV
89455,'',.,.
89456,",",.,.
89457,he,PRON,PRON
89458,said,VERB,VERB
89459,",",.,.
89460,and,CONJ,CONJ
89461,reached,VERB,VERB
89462,into,ADP,ADP
89463,his,DET,DET
89464,pocket,NOUN,NOUN
89465,.,.,.
89466,``,.,.
89467,I,PRON,PRON
89468,didn't,VERB,VERB
89469,know,VERB,VERB
89470,I,PRON,PRON
89471,was,VERB,VERB
89472,gonna,VERB,VERB
89473,have,VERB,VERB
89474,company,NOUN,NOUN
89475,in,ADP,ADP
89476,this,DET,DET
89477,car,NOUN,NOUN
89478,'',.,.
89479,.,.,.
89480,``,.,.
89481,We're,PRT,PRT
89482,going,VERB,VERB
89483,to,ADP,ADP
89484,Philadelphia,NOUN,NOUN
89485,'',.,.
89486,",",.,.
89487,Kitty,NOUN,NOUN
89488,said,VERB,VERB
89489,",",.,.
89490,pulling,VERB,VERB
89491,her,DET,DET
89492,skirt,NOUN,NOUN
89493,down,PRT,PRT
89494,around,ADP,ADP
89495,her,DET,DET
89496,legs,NOUN,NOUN
89497,all,PRT,PRT
89498,the,DET,DET
89499,more,ADJ,ADJ
89500,.,.,.
89501,``,.,.
89502,No,ADV,ADV
89503,",",.,.
89504,I,PRON,PRON
89505,don't,VERB,VERB
89506,think,VERB,VERB
89507,so,ADV,ADV
89508,'',.,.
89509,",",.,.
89510,said,VERB,VERB
89511,the,DET,DET
89512,big,ADJ,ADJ
89513,man,NOUN,NOUN
89514,",",.,.
89515,and,CONJ,CONJ
89516,it,PRON,PRON
89517,was,VERB,VERB
89518,the,DET,DET
89519,final,ADJ,ADJ
89520,clincher,NOUN,NOUN
89521,for,ADP,ADP
89522,Ernie,NOUN,NOUN
89523,.,.,.
89524,He,PRON,PRON
89525,had,VERB,VERB
89526,suspected,VERB,VERB
89527,this,DET,DET
89528,guy,NOUN,NOUN
89529,was,VERB,VERB
89530,trouble,NOUN,NOUN
89531,",",.,.
89532,and,CONJ,CONJ
89533,now,ADV,ADV
89534,he,PRON,PRON
89535,was,VERB,VERB
89536,sure,ADJ,ADJ
89537,of,ADP,ADP
89538,it,PRON,PRON
89539,.,.,.
89540,``,.,.
89541,Maybe,ADV,ADV
89542,you,PRON,PRON
89543,and,CONJ,CONJ
89544,me,PRON,PRON
89545,will,VERB,VERB
89546,",",.,.
89547,girlie,NOUN,VERB
89548,",",.,.
89549,but,CONJ,CONJ
89550,these,DET,DET
89551,two,NUM,NUM
89552,ain't,VERB,VERB
89553,goin',VERB,VERB
89554,nowhere,ADV,ADV
89555,'',.,.
89556,.,.,.
89557,He,PRON,PRON
89558,advanced,VERB,VERB
89559,on,ADP,ADP
89560,them,PRON,PRON
89561,",",.,.
89562,and,CONJ,CONJ
89563,abruptly,ADV,ADV
89564,there,PRT,PRT
89565,was,VERB,VERB
89566,a,DET,DET
89567,shocked,VERB,VERB
89568,electricity,NOUN,NOUN
89569,in,ADP,ADP
89570,the,DET,DET
89571,car,NOUN,NOUN
89572,.,.,.
89573,Ernie,NOUN,NOUN
89574,was,VERB,VERB
89575,screaming,VERB,VERB
89576,inside,ADP,ADP
89577,himself,PRON,PRON
89578,:,.,.
89579,No,ADV,ADV
89580,",",.,.
89581,damn,VERB,VERB
89582,you,PRON,PRON
89583,",",.,.
89584,you,PRON,PRON
89585,ain't,VERB,VERB
89586,gonna,VERB,VERB
89587,take,VERB,VERB
89588,my,DET,DET
